FEN,Outcome
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w - - 0 1,0.5
rnbqkbnr/pppppppp/8/8/8/2N5/PPPPPPPP/R1BQKBNR b - - 0 1,0.5
r1bqkbnr/pppppppp/2n5/8/8/2N5/PPPPPPPP/R1BQKBNR w - - 0 1,0.5
r1bqkbnr/pppppppp/2n5/8/8/2N2N2/PPPPPPPP/R1BQKB1R b - - 0 1,0.5
r1bqkb1r/pppppppp/2n2n2/8/8/2N2N2/PPPPPPPP/R1BQKB1R w - - 0 1,0.5
r1bqkb1r/pppppppp/2n2n2/8/4P3/2N2N2/PPPP1PPP/R1BQKB1R b - - 0 1,0.5
r1bqkb1r/pppppppp/2n5/8/4n3/2N2N2/PPPP1PPP/R1BQKB1R w - - 0 1,0.5
r1bqkb1r/pppppppp/2n5/8/4N3/5N2/PPPP1PPP/R1BQKB1R b - - 0 1,0.5
r1bqkb1r/ppp1pppp/2n5/3p4/4N3/5N2/PPPP1PPP/R1BQKB1R w - - 0 1,0.5
r1bqkb1r/ppp1pppp/2n5/3p4/8/2N2N2/PPPP1PPP/R1BQKB1R b - - 0 1,0.5
r1bqkb1r/ppp2ppp/2n5/3pp3/8/2N2N2/PPPP1PPP/R1BQKB1R w - - 0 1,0.5
r1bqkb1r/ppp2ppp/2n5/3Np3/8/5N2/PPPP1PPP/R1BQKB1R b - - 0 1,0.5
r1b1kb1r/ppp2ppp/2n5/3qp3/8/5N2/PPPP1PPP/R1BQKB1R w - - 0 1,0.5
r1b1kb1r/ppp2ppp/2n5/3qN3/8/8/PPPP1PPP/R1BQKB1R b - - 0 1,0.5
r1b1kb1r/ppp2ppp/8/3qn3/8/8/PPPP1PPP/R1BQKB1R w - - 0 1,0.5
r1b1kb1r/ppp2ppp/8/3qn3/3P4/8/PPP2PPP/R1BQKB1R b - - 0 1,0.5
r1b1kb1r/ppp2ppp/8/4n3/3q4/8/PPP2PPP/R1BQKB1R w - - 0 1,0.5
r1b1kb1r/ppp2ppp/8/4n3/3Q4/8/PPP2PPP/R1B1KB1R b - - 0 1,0.5
r1b1kb1r/1pp2ppp/p7/4n3/3Q4/8/PPP2PPP/R1B1KB1R w - - 0 1,0.5
r1b1kb1r/1pp2ppp/p7/4Q3/8/8/PPP2PPP/R1B1KB1R b - - 0 1,0.5
r3kb1r/1pp2ppp/p3b3/4Q3/8/8/PPP2PPP/R1B1KB1R w - - 0 1,0.5
r3kb1r/1pp2ppp/p3b3/Q7/8/8/PPP2PPP/R1B1KB1R b - - 0 1,0.5
r3kb1r/1pp2ppp/p7/Q7/8/8/bPP2PPP/R1B1KB1R w - - 0 1,0.5
r3kb1r/1pp2ppp/p7/Q7/8/4B3/bPP2PPP/R3KB1R b - - 0 1,0.5
r3kb1r/1pp2ppp/p3b3/Q7/8/4B3/1PP2PPP/R3KB1R w - - 0 1,0.5
r3kb1r/1pp2ppp/p3b3/QB6/8/4B3/1PP2PPP/R3K2R b - - 0 1,0.5
r3kb1r/1pp2ppp/4b3/Qp6/8/4B3/1PP2PPP/R3K2R w - - 0 1,0.5
Q3kb1r/1pp2ppp/4b3/1p6/8/4B3/1PP2PPP/R3K2R b - - 0 1,0.5
Q1b1kb1r/1pp2ppp/8/1p6/8/4B3/1PP2PPP/R3K2R w - - 0 1,0.5
2Q1kb1r/1pp2ppp/8/1p6/8/4B3/1PP2PPP/R3K2R b - - 0 1,0.5
2Q2b1r/1pp1kppp/8/1p6/8/4B3/1PP2PPP/R3K2R w - - 0 1,0.5
5Q1r/1pp1kppp/8/1p6/8/4B3/1PP2PPP/R3K2R b - - 0 1,0.5
5r2/1pp1kppp/8/1p6/8/4B3/1PP2PPP/R3K2R w - - 0 1,0.5
5r2/1pp1kppp/8/1p6/8/4B3/1PPK1PPP/R6R b - - 0 1,0.5
5r2/1pp1kpp1/8/1p5p/8/4B3/1PPK1PPP/R6R w - - 0 1,0.5
5r2/1pp1kpp1/8/1p5p/8/4B2P/1PPK1PP1/R6R b - - 0 1,0.5
5r2/1pp1kpp1/8/1p6/7p/4B2P/1PPK1PP1/R6R w - - 0 1,0.5
5r2/1pp1kpp1/8/Rp6/7p/4B2P/1PPK1PP1/7R b - - 0 1,0.5
5r2/1pp1kpp1/8/R7/1p5p/4B2P/1PPK1PP1/7R w - - 0 1,0.5
5r2/1pp1kpp1/1B6/R7/1p5p/7P/1PPK1PP1/7R b - - 0 1,0.5
5r2/1p2kpp1/1p6/R7/1p5p/7P/1PPK1PP1/7R w - - 0 1,0.5
5r2/1p2kpp1/1p6/R7/1p5p/4K2P/1PP2PP1/7R b - - 0 1,0.5
5r2/1p2kpp1/8/p7/1p5p/4K2P/1PP2PP1/7R w - - 0 1,0.5
5r2/1p2kpp1/8/p7/1p5p/4K2P/1PP2PP1/1R6 b - - 0 1,0.5
3r4/1p2kpp1/8/p7/1p5p/4K2P/1PP2PP1/1R6 w - - 0 1,0.5
3r4/1p2kpp1/8/p7/1p2K2p/7P/1PP2PP1/1R6 b - - 0 1,0.5
3r4/1p2kpp1/8/p7/4K2p/1p5P/1PP2PP1/1R6 w - - 0 1,0.5
3r4/1p2kpp1/8/p7/4K2p/1P5P/1P3PP1/1R6 b - - 0 1,0.5
3r4/1p2kpp1/8/8/p3K2p/1P5P/1P3PP1/1R6 w - - 0 1,0.5
3r4/1p2kpp1/8/8/P3K2p/7P/1P3PP1/1R6 b - - 0 1,0.5
8/1p2kpp1/8/8/P2rK2p/7P/1P3PP1/1R6 w - - 0 1,0.5
8/1p2kpp1/8/8/P2K3p/7P/1P3PP1/1R6 b - - 0 1,0.5
8/1p3pp1/5k2/8/P2K3p/7P/1P3PP1/1R6 w - - 0 1,0.5
8/1p3pp1/5k2/3K4/P6p/7P/1P3PP1/1R6 b - - 0 1,0.5
8/1p3pp1/6k1/3K4/P6p/7P/1P3PP1/1R6 w - - 0 1,0.5
8/1p3pp1/6k1/P2K4/7p/7P/1P3PP1/1R6 b - - 0 1,0.5
